JJ PPM DIFF DIDD
1974.3795 333.34 1333.33 1333.33
1974.3986 332.95 1332.94 1332.94
1974.4178 332.32 1332.31 1332.31
1974.4370 332.18 1332.17 1332.17
1974.4562 332.37 1332.36 1332.36
1974.4753 331.59 1331.58 1331.58
1974.4945 331.68 1331.67 1331.67
1974.5137 331.44 1331.43 1331.43
1974.5329 330.85 1330.84 1330.84
1974.5521 330.76 1330.75 1330.75
1974.5712 329.80 1329.79 1329.79
1974.5904 329.85 1329.84 1329.84
1974.6096 329.05 1329.04 1329.04
1974.6288 329.06 1329.05 1329.05
1974.6479 328.33 1328.32 1328.32
1974.6671 328.05 1328.04 1328.04
1974.6863 327.57 1327.56 1327.56
1974.7055 326.73 1326.72 1326.72
1974.7247 326.96 1326.95 1326.95
1974.7438 327.31 1327.3 1327.3
1974.7630 327.07 1327.06 1327.06
1974.7822 327.23 1327.22 1327.22
1974.8014 327.40 1327.39 1327.39
1974.8205 327.64 1327.63 1327.63
1974.8397 327.80 1327.79 1327.79
1974.8589 328.50 1328.49 1328.49
1974.8781 328.56 1328.55 1328.55
1974.8973 328.46 1328.45 1328.45
1974.9164 328.76 1328.75 1328.75
1974.9356 329.39 1329.38 1329.38
1974.9548 329.77 1329.76 1329.76
1974.9740 329.96 1329.95 1329.95
1974.9932 330.38 1330.37 1330.37
1975.0123 330.43 1330.42 1330.42
1975.0315 330.59 1330.58 1330.58
1975.0507 330.80 1330.79 1330.79
1975.0699 331.22 1331.21 1331.21
1975.0890 331.64 1331.63 1331.63
1975.1082 331.12 1331.11 1331.11
1975.1274 331.41 1331.4 1331.4
1975.1466 331.96 1331.95 1331.95
1975.1658 331.73 1331.72 1331.72
1975.1849 331.61 1331.6 1331.6
1975.2041 332.11 1332.1 1332.1
1975.2233 331.86 1331.85 1331.85
1975.2425 333.30 1333.29 1333.29
1975.2616 332.79 1332.78 1332.78
1975.2808 333.31 1333.3 1333.3
1975.3000 333.39 1333.38 1333.38
1975.3192 333.49 1333.48 1333.48
1975.3384 333.94 1333.93 1333.93
1975.3575 334.25 1334.24 1334.24
1975.3767 333.45 1333.44 1333.44
1975.3959 334.00 1.05000000000001 1333.99
1975.4151 333.96 1.56 1333.95
1975.4342 333.32 1.13999999999999 1333.31
1975.4534 333.22 0.900000000000034 1333.21
1975.4726 333.47 1.77000000000004 1333.46
1975.4918 333.01 1.28999999999996 1333
1975.5110 332.32 0.829999999999984 1332.31
1975.5301 331.83 0.870000000000005 1331.82
1975.5493 331.36 0.569999999999993 1331.35
1975.5685 331.21 1.23999999999995 1331.2
